title,author,genre,description
The Backpower Program,"['David Imrie', 'Lu Barbuto']",['Health & Fitness'],Back problems affect more people over longer periods of time than any other physical condition—and they are unsurpassed for testing the patience of both doctors and sufferers. A revolutionary program—Back...
"Flame in the wind,","['Katherine Stenholm', 'Bob Jones University. Unusual Films']",['Flame in the wind (Motion picture)'],"This souvenir program discusses the historical background, princle actors and production personnel, sets and locations, and various technical aspects used to produce the film Flame in the wind."
Papercrafts And Origami,"['Paul Jackson', ""Angela A'Court""]",['Crafts & Hobbies'],"Why not decorate paper for brillant personal stationery, make beautiful gift wraps, labels and tags, and create fabulous paper decorations for Christmas and other celebrations."
Vincent in Brixton (A Play),['Nicholas Wright'],['Artists'],A dramatization of the time that Van Gogh spent in Brixton in the 1870s--a period before he became a painter and one that changed him completely. Vincent develops a rapport...
"Programming Python, Second Edition with CD","['Justin Seitz', 'Tim Arnold']",['Computers'],"Fully-updated for Python 3, the second edition of this worldwide bestseller (over 100,000 copies sold) explores the stealthier side of programming and brings you all new strategies for your hacking..."
Empires of the Atlantic World: Britain and Spain in America 1492-1830,['J. H. Elliott'],['History'],"This epic history compares the empires built by Spain and Britain in the Americas, from Columbus's arrival in the New World to the end of Spanish colonial rule in the..."
Time of Thin Blood (Vampire: The Masquerade),"['Dean Shomshak', 'Sarah Roark']",['Games'],"What are we? The Damned childer of caine? The grotesque lords of humanity? The pitiful wretches of eternal hell? We are vampires, and that is enough. I am a vampire,..."
Luther and the Old Testament,['William M. Marsh'],['Religion'],"Above all else that the sixteenth-century German Reformer was known for, Martin Luther was a Doctor of the Holy Scriptures. One of the most characteristic features of Luther’s approach to..."
the man who never was,['Ewen Montagu'],['History'],"In the early hours of 30 April 1943, a corpse wearing the uniform of an officer in the Royal Marines was slipped into the waters off the south-west coast of..."
From Atoms to Angels: The Spiritual Forces Shaping Your Life,['Paul Walsh-Roberts'],"['Body, Mind & Spirit']","This title demystifies spirituality, making it meaningful and practical by providing a clear overview of the forces and principles that drive the changing times we live in. It offers simple..."
The Adventures of Pinocchio,['Carlo Collodi'],['Fiction'],revelatory new edition of the most widely translated Italian book in the world--soon to be a Netflix animated feature film co-directed and co-written by Guillermo del Toro and voiced by...
Democracy and Distrust: A Theory of Judicial Review (Harvard Paperbacks),['John Hart Ely'],['Law'],Ely criticizes the two prevailing legal approaches to the Constitution and sets forth a proposal for determining the role of the Supreme Court today based on the view that the...
Along This Way: The Autobiography of James Weldon Johnson,['James Weldon Johnson'],['Biography & Autobiography'],"The autobiography of the celebrated African American writer and civil rights activist Published just four years before his death in 1938, James Weldon Johnson's autobiography is a fascinating portrait of..."
The Book of the Lion,['Michael Cadnum'],['Juvenile Fiction'],"A National Book Award nominee! Returning to the same era of his ""In a Dark Wood"", Cadnum's majestic novel--part mystery, part history--chronicles the pageantry and brutality of the Crusades under..."
The Christmas Angel,['Jane Maas'],['Fiction'],"""I lingered over the pages and the years as this special Christmas Angel was handed down from one generation to the next. This is a story that will linger in..."
Daughters of Earth: Feminist Science Fiction in the Twentieth Century,['Justine Larbalestier'],['Fiction'],The best of women’s science fiction and feminist theory together in one volume
Pick-A-Party Cookbook,['Patty Sachs'],['Cooking'],"Thebiggest and most complete party cookbook ever written! Here are more than 100 complete menus, over 300 delicious recipes, and plenty of creative serving and decorating ideas for all of..."
"The crystal tree,",['Kelynda'],"['Body, Mind & Spirit']",This fascinating and original method of divination brings together two treasure-troves of occult wisdom for the first time. The Crystal Tree combines the mystery of the Kabbalistic Tree of Life...
Talks on the Gita,['Vinoba Bhave'],['Self-Help'],"Talks on the Gita – The Heartfulness Way Series Talks on the Gita has been translated into all Indian languages and many foreign languages. In these talks, we find a..."
Ford Full Size Vans Automotive Repair Manual 1992-2001,"['Clifford A. Price', 'Eric Doehne']",['Art'],"First published in 1996, this volume has been substantially updated to reflect new research in the conservation of stone monuments, sculpture, and archaeological sites."
Radiative Heat Transfer,['Michael F. Modest'],['Science'],"The third edition of Radiative Heat Transfer describes the basic physics of radiation heat transfer. The book provides models, methodologies, and calculations essential in solving research problems in a variety..."
"The Battle of Ap Bac, Vietnam: They Did Everything but Learn from It (Contributions in Military Studies)",['Edward L. Bimberg'],['History'],Details how the little-known battles of the Free French in remote areas of Africa contributed to the Allied victory in World War II.
History of Ancient Geography,['Henry Fanshawe Tozer'],['History'],This 1897 textbook traces the progress of geographical writing from Homeric times to the end of Rome's western empire.
School Choices: True and False,['John Merrifield'],['Education'],"Advocating the near complete privatization of schools, Merrifield (economics, U. of Texas at San Antonio) reserves most criticism for the vouchers movement. He argues that advocates for vouchers have weakened..."
MacKenna's Promise (Harlequin Historical No 216),['Shannon McKenna'],['Fiction'],Can this bad boy keep to the terms of their fake engagement? Find out in this Men Of Maddox Hill novel from New York Times bestselling author Shannon McKenna! When...
Confronting Suburban Decline: Strategic Planning For Metropolitan Renewal,"['William H. Lucy', 'William Lucy', 'David L. Phillips', 'Professor David Phillips']",['Political Science'],"Sprawling commercial and residential development in outer suburbs and exurban areas has for a number of years masked increasingly severe socioeconomic problems in suburban America. In recent decades, income declines,..."
L'Arrire-saison (French Edition),['Larousse'],['Foreign Language Study'],"An authoritative dictionary that includes colloquial expressions, terms, and a phonetic symbol guide along with the usual vocabulary entries."
My fight for Irish freedom,['Dan Breen'],['History'],"In 1919 a group of young men barely out of their teens, poorly armed, with no money and little training, renewed the fight, begun in 1916, to drive the British..."
The Six Yogas of Naropa & Teachings on Mahamudra,['Glenn H. Mullin'],['Religion'],"Revised edition of: Readings on the Six Yogas of Naropa, 1997."
The End Of Utopia: Politics And Culture In An Age Of Apathy,['Russell Jacoby'],['Political Science'],"We are facing the end of politics altogether, Russell Jacoby argues in The End of Utopia. Political contestation is premised on people's capacity for offering competing visions of the future,..."
Last Call (The Destroyer),['Logan C. Jones'],['Poetry'],"Last Call is a book of poems that explores the journey and search for our elusive God. This is the journey of the soul, and the search is joined through..."
Skin Talking About Sex Class and Literature,['Dorothy Allison'],['Literary Collections'],"A collection of essays, autobiographical narratives, and performance pieces."
Emma (The World's Classics),['Jane Austen'],['Fiction'],"Emma Woodhouse imagines that she dominates those around her in the small town of Highbury, but her inept matchmaking creates problems for herself and others."
AstroFAQs: Questions Amateur Astronomers Frequently Ask (Patrick Moore's Practical Astronomy Series),['Stephen F. Tonkin'],['Science'],"An increasing number of people are taking advantage of the relatively low prices of astronomical equipment. Many of these people are doing so with little knowledge of practical astronomy and,..."
"The Pony Rider Boys in Alaska; or, The Gold Diggers of Taku Pass",['Frank Gee Patchin'],General,"The Pony Rider Boys in Alaska Or, The Gold Diggers of Taku Pass: Large Print By Frank Gee Patchin CHAPTER ITHROUGH ENCHANTING WATERS ""Captain, who are the four silent men..."
Mi Pais Inventado: Un Paseo Nostalgico por Chile (Spanish Edition),"['Isabel Allende', 'John Rodden']",['Literary Criticism'],"This revised edition has been updated to cover Allende's three newest books—City of the Beasts, Portrait in Sepia: A Novel, and Daughter of Fortune. It includes four new interviews in..."
"Blue Heaven, Black Night",['Shannon Drake'],['Fiction'],This is the story of a man and woman bound together by a tempestuous love.
"Natural Selection (BattleTech, No. 5)",['Michael A. Stackpole'],['Fiction'],"When sporadic Clan incursions into Inner Sphere territory supply mercenaries with more work than they can handle, Khan Phelan Ward and Prince Victor Davion--cousins, rulers, and enemies--must decide what to..."
Cut & Assemble the EMERALD CITY OF OZ,"['Morris Chestnut', 'Obi Obadike']",['Health & Fitness'],"Transform Your Body in Just 12 Weeks Hollywood leading man Morris Chestnut may be known for his washboard abs and ripped arms, but not too long ago he was in..."
Fietsen - Photographs by Laura Domela,['Laura Domela'],General,"Fietsen - (Dutch) [v] ride a bicycle, cycle; [n] bicycle.A series of photographs of bicycle commuters taken in Amsterdam from Septebmer 21 through September 25, 2005."
"Good Morning, Midnight",['Jean Rhys'],General,"Saved, rescued, fished-up, half-drowned, out of the deep, dark river, dry clothes, hair shampooed and set... Set in a 1930s Paris of shabby hotel rooms, seedy bars and drunken encounters,..."
Vector and Tensor Analysis with Applications (Dover Books on Mathematics),"['A. I. Borisenko', 'I. E. Tarapov']",['Mathematics'],"Concise, readable text ranges from definition of vectors and discussion of algebraic operations on vectors to the concept of tensor and algebraic operations on tensors. Worked-out problems and solutions. 1968..."
Empire on Ice,['Jeffrey Ford'],['Fiction'],"Mixing the mundane with the metaphysical, the pairings of the everyday and the extraordinary in this collection of short fiction yield supernatural results—a young musician perceives another world while drinking..."
"The War of 1812,",['Heather E. Schwartz'],['Juvenile Nonfiction'],The War of 1812: By the Dawn's Early Light primary source reader builds literacy skills while offering engaging content across social studies subject areas. Primary source documents provide an intimate...
The Ladies of Seneca Falls: The Birth of the Woman's Rights Movement,['Miriam Gurko'],['Biography & Autobiography'],"Reveals the contributions of such nineteenth-century antecedents to the suffrage movement as Elizabeth Cady Stanton, Susan B. Anthony, and Margaret Fuller"
The Cambridge Companion to Nietzsche (Cambridge Companions to Philosophy),"['Don Garrett', 'Bernd Magnus', 'Kathleen Marie Higgins', 'Kathleen Higgins']",['Biography & Autobiography'],The significance of Friedrich Nietzsche for twentieth century culture is now no longer a matter of dispute. He was quite simply one of the most influential of modern thinkers. The...
The Virtuous Woman: Shattering the Superwoman Myth (Workbook Journal),['Vicki Courtney'],['Religion'],"Unravels the mystery behind Proverbs 31 by illustrating that while a virtuous woman is a rare find, it is possible to become a godly woman of worth, wisdom, and purpose..."
Homicide Special: On the Streets with the LAPD's Elite Detective Unit,['Miles Corwin'],['True Crime'],"With an Updated Epilogue by the Author ""A compelling portrait of seasoned homicide cops at work. This is L.A.'s darkest side: ironic, heart-breaking, stunningly violent, unfailingly human. Riveting."" -Jonathan Kellerman..."
Rivers of a Wounded Heart: Everyman's Journey (Capital Discovery),['Rebecca Gifford'],['Health & Fitness'],"An inspiration for all cancer patients, this young cancer survivor relates her experiences with edgy humor, honesty, and hope."
Italy (Social Studies: Emergent Readers),['Susan Canizares'],['Italy'],"Simple text and photographs explore the sights of Italy, including bridges, statues, gondolas, and fountains."
Escaping Reality,['Lisa Renee Jones'],['Fiction'],"The first book in the sexy, suspenseful new The Secret Life of Amy Bensen series from New York Times bestselling author Lisa Renee Jones. His touch spirals through me, warm..."
Collapsible Baton Tactics : A Hardcore Guide To The Combative Use Of The Tactical Baton,Unknown,General,"The oldest and most respected martial arts title in the industry, this popular monthly magazine addresses the needs of martial artists of all levels by providing them with information about..."
kramer vs. kramer,['Avery Corman'],['Fiction'],"A novel about a father’s emotional custody battle by a New York Times–bestselling author—the basis for the hit movie and “a great read” (Dave Eggers). For Joanna and Ted Kramer,..."
The King Is Dead,['Suzannah Lipscomb'],['History'],"An insightful and elegant examination of Henry VIII's last will and testament that evokes the glittering world of the Tudor king in all its glory, pomp, and paranoia. On 28..."
The Art of the Game,['Matthew Omernick'],['Computers'],"The key word here is art: the dynamic 3D art that defines the world of computer games. This book teaches you everything you need to know about the planning, modeling,..."
The Execution: A Novel,['Danya Kukafka'],['Fiction'],"NATIONAL BESTSELLER “Defiantly populated with living women . . . beautifully drawn, dense with detail and specificity . . . Notes on an Execution is nuanced, ambitious and compelling.” —Katie..."
The Unhinged World of Glen Baxter: Collected Works (Collected Works (Pomegranate)),['Glen Baxter'],['Humor'],"Baxter's drawings and text are reminiscent of the 1930's adventure story illustrations and the ""See Jane run"" books, which is why you may feel like coloring them in when you..."
Beach Blanket Atheism: The Beginner's Guide for the Non-Believer,['Edward P. Tolley'],['Religion'],"Atheism hasn't exactly been the topic of a lot of laughs. That is, until now. 'Beach Blanket Atheism' uses laugh-out-loud humour, razor-sharp logic and compelling arguments about this most misunderstood..."
Cow Country,['B.M. Bower'],['Fiction'],Reproduction of the original: Cow-Country by B.M. Bower
The High Mountains of the Alps,"['Helmut Dumler', 'Willi P. Burkhardt']",['Sports & Recreation'],"Describes each major peak, looks at climbing routes and approaches, and discusses the history of mountaineering in the Alps"
The Essential Asian Cookbook,['Whitecap Books'],['Cooking'],"This book is a complete guide to the food and recipes of Asia, celebrating and demystifying the flavors of the East."
Older and Wiser: How to Maintain Peak Mental Ability for as Long as You Live (Thorndike Press Large Print Senior Lifestyles Series),['Richard M. Restak'],['Psychology'],Reports on the latest research into the biology of the brain and explains how changes in lifestyle can keep brains healthy and keen
The Flight From the Enchanter,['Iris Murdoch'],['Fiction'],A charismatic businessman casts a dark spell over others in this psychologically suspenseful novel by the Man Booker Prize–winning author of The Black Prince. Mischa Fox’s name is known throughout...
Galapagos: World's End,['William Beebe'],['Galápagos Islands'],"In 1835, Charles Darwin observed variations among the Galapagos Islands' species that inspired him to formulate the theory of natural selection. Eighty-eight years later, in 1923, a scientific expedition sponsored..."
The Philosophy of Religion: A Critical Introduction,"['Beverley Clack', 'Brian R. Clack']",['Philosophy'],"For over twenty years, Beverley Clack and Brian R. Clack’s distinctive and thought-provoking introduction to the philosophy of religion has been of enormous value to students and scholars, providing an..."
Scrabble Word Building Book,Unknown,['Games & Activities'],The ultimate winner’s handbook for mastering Scrabble® and other word games—for players of all backgrounds and skill levels. Become a master of Scrabble® with this essential guide to top-scoring game...
The Five Books of Moses: A Translation with Commentary,['Robert Alter'],['Religion'],"""A modern classic....Thrilling and constantly illuminating.""—Michael Dirda, Washington Post Book World Through a distinguished career of critical scholarship and translation, Robert Alter has equipped us to read the Hebrew Bible..."
Richmond Burning: The Last Days of the Confederate Capital,['Nelson Lankford'],['History'],"Nelson Lankford draws upon Civil War-era diaries, letters, memoirs, and newspaper reports to vividly recapture the experiences of the men and women, both black and white, who witnessed the tumultuous..."
The Want-Ad Killer,"['Andy Stack', 'Ann Rule']",['Fiction'],Tells the story of a clever criminal who used a legal loophole to escape conviction and perpetrate more murders
"Writing Culture: The Poetics and Politics of Ethnography : A School of American Research, Advanced Seminar","['James Clifford', 'George E. Marcus']",['Social Science'],Collection of essays on ethnography
The Sex Chronicles: Shattering the Myth,['Zane'],['African American women'],"From a bold and captivating voice comes a collection of stories that probes women's darkest passions and pushes the boundaries of erotic fiction. Sometimes romantic, sometimes raw, Zane appeals to..."
A history of economic thought,"['E. K. Hunt', 'Mark Lautzenheiser']",['Business & Economics'],This practical guide is essential for anyone new to or intimidated by online instruction. It distills the
"Brierfield: plantation home of Jefferson Davis,",['Frank Edgar Everett'],['History'],"Brierfield: Plantation Home of Jefferson Davis by Frank Edgar Everett, Jr. This is the story of a house, ""Brierfield,"" and incidentally of a man, Jefferson Davis, and his family. The..."
The ABC's of Writing Fiction,['Garrett Sutton'],['Business & Economics'],To win in business requires a winning business plan. To write a winning business plan requires reading Garrett Sutton’s dynamic book on the topic. Writing Winning Business Plans provides the...
Ftce English Middle School,['Sharon A. Wynne'],['Study Aids'],"Unlike other test preparation material, our FTCE Middle Grades English teacher certification study guide drills all the way down to the focus statement level, providing detailed examples of the range,..."
Gertrude and Alice,['Janet Malcolm'],['Biography & Autobiography'],"How had the pair of elderly Jewish lesbians survived the Nazis?"" Janet Malcolm asks at the beginning of this extraordinary work of literary biography and investigative journalism. The pair, of..."
The Shetter family tree,['Lois Ann Mast'],['Reference'],"This Shetter family history traces the Shetter family of Franklin County, Pa. Most frequent furnames include Brubaker, Burkholder, Byers, Ebersole, Halteman, Horst, Lehman, Martin, Patterson, Shank, Shetter, Sollenberger, Wadel, and..."
Flirt,['Rachel DeAlto'],['Family & Relationships'],"Flirting comes naturally to some, but others often need a little practice before they feel confident approaching and engaging people they find attractive. ""Flirt Fearlessly"" provides a little pick me..."
THE POWER OF PRAYER,['R.A. Torrey'],['Religion'],"Ye have not, because ye ask not (James 4:2). I BRING YOU A MESSAGE FROM GOD contained in seven short words. Six of the seven words are monosyllables, and the..."
Being Jewish,"['Barbara Kirshenblatt-Gimblett', 'Jonathan Karp']",['Religion'],"This richly illustrated volume illuminates how the arts have helped Jews confront the challenges of modernity. There truly is an art to being Jewish in the modern world—or, alternatively, an..."
The Story Of England,['Michael Wood'],['History'],"The village of Kibworth in Leicestershire lies at the very centre of England. It has a church, some pubs, the Grand Union Canal, a First World War Memorial - and..."
